EXP NUM,Residence Time,Temperature,dielectric constant,ET(30),alpha,beta,pi*,SA,SB,SP,SdP,N,n,f(n),delta
0,2.001019108286073,175.0,32.7,55.4,0.98,0.66,0.6,0.605,0.545,0.608,0.904,0.02466,1.329,0.20345,29.3
0,3.978166690325224,175.0,32.7,55.4,0.98,0.66,0.6,0.605,0.545,0.608,0.904,0.02466,1.329,0.20345,29.3
0,7.011797263567132,175.0,32.7,55.4,0.98,0.66,0.6,0.605,0.545,0.608,0.904,0.02466,1.329,0.20345,29.3
0,10.031130106091268,175.0,32.7,55.4,0.98,0.66,0.6,0.605,0.545,0.608,0.904,0.02466,1.329,0.20345,29.3
0,13.079226969438196,175.0,32.7,55.4,0.98,0.66,0.6,0.605,0.545,0.608,0.904,0.02466,1.329,0.20345,29.3
0,15.000563359240005,175.0,32.7,55.4,0.98,0.66,0.6,0.605,0.545,0.608,0.904,0.02466,1.329,0.20345,29.3
0,15.00681067223013,175.0,32.7,55.4,0.98,0.66,0.6,0.605,0.545,0.608,0.904,0.02466,1.329,0.20345,29.3
0,15.011731013510143,175.0,32.7,55.4,0.98,0.66,0.6,0.605,0.545,0.608,0.904,0.02466,1.329,0.20345,29.3
0,15.01720841288261,175.0,32.7,55.4,0.98,0.66,0.6,0.605,0.545,0.608,0.904,0.02466,1.329,0.20345,29.3
1,2.001019108286073,225.0,32.7,55.4,0.98,0.66,0.6,0.605,0.545,0.608,0.904,0.02466,1.329,0.20345,29.3
1,3.819262231684206,225.0,32.7,55.4,0.98,0.66,0.6,0.605,0.545,0.608,0.904,0.02466,1.329,0.20345,29.3
1,6.852892804977273,225.0,32.7,55.4,0.98,0.66,0.6,0.605,0.545,0.608,0.904,0.02466,1.329,0.20345,29.3
1,12.920326648031732,225.0,32.7,55.4,0.98,0.66,0.6,0.605,0.545,0.608,0.904,0.02466,1.329,0.20345,29.3
1,15.00085721186224,225.0,32.7,55.4,0.98,0.66,0.6,0.605,0.545,0.608,0.904,0.02466,1.329,0.20345,29.3
1,15.00708042790393,225.0,32.7,55.4,0.98,0.66,0.6,0.605,0.545,0.608,0.904,0.02466,1.329,0.20345,29.3
1,15.011945651622227,225.0,32.7,55.4,0.98,0.66,0.6,0.605,0.545,0.608,0.904,0.02466,1.329,0.20345,29.3
1,15.01720841288261,225.0,32.7,55.4,0.98,0.66,0.6,0.605,0.545,0.608,0.904,0.02466,1.329,0.20345,29.3
2,2.172434206210028,175.0,37.0,56.3,0.9,0.52,0.92,0.717,0.534,0.777,0.91,0.01788,1.4318,0.25927,29.9
2,5.191618919621988,175.0,37.0,56.3,0.9,0.52,0.92,0.717,0.534,0.777,0.91,0.01788,1.4318,0.25927,29.9
2,8.225286201343351,175.0,37.0,56.3,0.9,0.52,0.92,0.717,0.534,0.777,0.91,0.01788,1.4318,0.25927,29.9
2,11.273507802440008,175.0,37.0,56.3,0.9,0.52,0.92,0.717,0.534,0.777,0.91,0.01788,1.4318,0.25927,29.9
2,14.292628735012158,175.0,37.0,56.3,0.9,0.52,0.92,0.717,0.534,0.777,0.91,0.01788,1.4318,0.25927,29.9
2,15.004374605086925,175.0,37.0,56.3,0.9,0.52,0.92,0.717,0.534,0.777,0.91,0.01788,1.4318,0.25927,29.9
2,15.009927794380928,175.0,37.0,56.3,0.9,0.52,0.92,0.717,0.534,0.777,0.91,0.01788,1.4318,0.25927,29.9
2,15.01720841288261,175.0,37.0,56.3,0.9,0.52,0.92,0.717,0.534,0.777,0.91,0.01788,1.4318,0.25927,29.9
3,3.968719097946405,225.0,37.0,56.3,0.9,0.52,0.92,0.717,0.534,0.777,0.91,0.01788,1.4318,0.25927,29.9
3,7.002349671188313,225.0,37.0,56.3,0.9,0.52,0.92,0.717,0.534,0.777,0.91,0.01788,1.4318,0.25927,29.9
3,10.036128579253043,225.0,37.0,56.3,0.9,0.52,0.92,0.717,0.534,0.777,0.91,0.01788,1.4318,0.25927,29.9
3,13.06977963904501,225.0,37.0,56.3,0.9,0.52,0.92,0.717,0.534,0.777,0.91,0.01788,1.4318,0.25927,29.9
3,15.000553255731576,225.0,37.0,56.3,0.9,0.52,0.92,0.717,0.534,0.777,0.91,0.01788,1.4318,0.25927,29.9
3,15.006828422383478,225.0,37.0,56.3,0.9,0.52,0.92,0.717,0.534,0.777,0.91,0.01788,1.4318,0.25927,29.9
3,15.01174389454718,225.0,37.0,56.3,0.9,0.52,0.92,0.717,0.534,0.777,0.91,0.01788,1.4318,0.25927,29.9
3,15.01720841288261,225.0,37.0,56.3,0.9,0.52,0.92,0.717,0.534,0.777,0.91,0.01788,1.4318,0.25927,29.9
4,2.001019108286073,175.0,16.7,62.1,1.96,0.0,0.65,1.011,0.014,0.499,1.454,0.0095,1.275,0.17256,19.3
4,3.972850613888568,175.0,16.7,62.1,1.96,0.0,0.65,1.011,0.014,0.499,1.454,0.0095,1.275,0.17256,19.3
4,7.006481187130476,175.0,16.7,62.1,1.96,0.0,0.65,1.011,0.014,0.499,1.454,0.0095,1.275,0.17256,19.3
4,10.040260264889866,175.0,16.7,62.1,1.96,0.0,0.65,1.011,0.014,0.499,1.454,0.0095,1.275,0.17256,19.3
4,13.073911040646635,175.0,16.7,62.1,1.96,0.0,0.65,1.011,0.014,0.499,1.454,0.0095,1.275,0.17256,19.3
4,15.000544907388758,175.0,16.7,62.1,1.96,0.0,0.65,1.011,0.014,0.499,1.454,0.0095,1.275,0.17256,19.3
4,15.00682066216541,175.0,16.7,62.1,1.96,0.0,0.65,1.011,0.014,0.499,1.454,0.0095,1.275,0.17256,19.3
4,15.01173826336526,175.0,16.7,62.1,1.96,0.0,0.65,1.011,0.014,0.499,1.454,0.0095,1.275,0.17256,19.3
4,15.01720841288261,175.0,16.7,62.1,1.96,0.0,0.65,1.011,0.014,0.499,1.454,0.0095,1.275,0.17256,19.3
5,2.001019108286073,225.0,16.7,62.1,1.96,0.0,0.65,1.011,0.014,0.499,1.454,0.0095,1.275,0.17256,19.3
5,3.828392015128657,225.0,16.7,62.1,1.96,0.0,0.65,1.011,0.014,0.499,1.454,0.0095,1.275,0.17256,19.3
5,6.862022588370564,225.0,16.7,62.1,1.96,0.0,0.65,1.011,0.014,0.499,1.454,0.0095,1.275,0.17256,19.3
5,9.895795501921612,225.0,16.7,62.1,1.96,0.0,0.65,1.011,0.014,0.499,1.454,0.0095,1.275,0.17256,19.3
